MATRICULA,BA000118,BA000122,BA000171,BA000200,BA000949,BA001073,BA001074,BA001075,BA001078,BA001079,BA001082,BA001083,BA001084,BA001085,BA001089,BA001090,BA001091,BA001231,BA001367,BA001430,BA001432,BA001440,BA001442,BA001495,BA001651,BA001652,BA001653,BA001911,BA010801,BA010803,BA010901,BA010902,BA010903,BA010904,BA010905,BA010906,BA010907,BA010993,BA011004,BA011010,BA011012,BA011015,BA011019,BA011505,BA011518,BA011736,BA013607,BA013610,BA015712,BA017501,BA017505,BA017510,BA017512,BA017513,BA017515,BA017518,TRT001,"17504,00",ACG038,ACG039,ACG046,ACG047,ACG50
2108950593,,,,,,,,9.50,,,,,,,,,,,,,,,,,,,,,,,,,7.80,9.10,,,,,,,,,,,,,,,,,,,6.64,8.20,,,,,,,,,
2108950594,,,,,,,7.70,,,,,,,,,,,,,,,,,,,,,,,,,,8.10,6.80,,,,0.00,,7.70,,,,,,,,6.00,,,,,,,,,,,,,,,
2108950595,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,3.16,,,,,,,,,,,,1.00,,,,0.00,,4.95,,,,,7.80,,,,,,,,,
2108950596,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,7.20,8.80,,,,,,,,,6.00,,,,,,,,,,6.81,7.80,,,,,,,,,
2108950598,,,,,,,8.30,,,,,,,,,,,,,,,,,,,,,,,,6.02,,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,0.00,,,,
2108950599,,,,,,,,9.50,,,,,,,,,,,,,,,,,,,,,,,,,7.10,7.10,,,,,,,,,6.00,,,,,,,,,,7.83,9.30,,,,,0.00,,,,
2108950601,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,0.00,,,,6.60,6.60,,,,7.60,,,4.50,,6.60,,,,,,,,,,,,,,,,,,,,
2108950602,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,0.00,,,,,,5.70,,,,,,,,,,,,,,
2108950604,,,,,,,,9.50,,,,,,,,,,,,,,,,,,,,,,,,,7.80,7.90,,,,,,,,,6.00,,,,,,,,,,6.61,7.80,,,,,0.00,,0.00,0.00,
2108950605,,,,,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,6.38,,,,,,,,,3.50,,,,,,,,,6.05,,,,,,,,,,,,,,
2108950606,,,,,,,,,,,,,,,,,,,,,,,,,7.50,8.62,,,,,,,,,,,,9.00,,,,,,,,,,,,,,,,,,,,,,,,,
2108950755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,2.20,,,,,,,,,,0.00,,,,,,,,,,,,,0.00,,,,,,,
2108950759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,,,,,,,
2108950765,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,9.50,9.90,,,,9.70,,,,,,,,,,,,,,,6.55,9.70,,,,,0.00,,,,
2108951359,,,,,,,,9.00,,,,,,,,,,,,,1.50,,,,,,,,,,,,7.80,8.30,,,,,,,,,,,,,,,,,,,,8.90,,,,,,,,,
2108951363,,,,,,,0.70,,,,,,,,,,,,,,,,,,,,,,,,3.96,8.10,,,,,,8.40,,,,,,,,,,,,,,,,,,,,,,,,,
2108951364,,,,,,,,,,,,,,,,,,9.00,,,,,,,,,,,0.00,,0.16,,0.00,,,,,,6.00,,,,,,,,,,,9.30,,,,,,0.00,,,,,,,
2108951365,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,8.10,9.20,,,,,,,,,6.00,,,,,,,,,,8.04,9.20,,,,,0.00,,0.00,,
2108951366,,,,,,,,6.00,,,,,,,,,,,,,,,,,,,,,,,6.60,,,,,,,,,,,,0.00,,,,8.50,,,,,,,6.90,,,,,,,,,
